consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import
"-1,789","408,62",0.00,4412,176,93,0.035,2891.56
"-1,804","415,79",0.03,4426,204,93,0.010,2919.86
"-1,779","415,25",0.01,4362,258,91,0.010,2932.02
"-1,744","414,38",0.01,4290,257,87,0.008,2889.72
"-1,691","400,25",0.03,3995,258,84,0.010,2645.26
"-1,631","384,82",0.03,3740,267,84,0.008,2461.01
"-1,571","370,59",0.02,3274,283,82,0.009,2067.78
"-1,528","365,68",0.02,2931,289,79,0.007,1771.75
"-1,497","361,86",0.02,2659,282,80,0.008,1524.09
"-1,494","360,11",0.02,2560,274,80,0.008,1420.89
"-1,496","359,89",0.03,2640,256,80,0.010,1479.47
"-1,518","365,13",0.02,2690,301,80,0.009,1552.51
"-1,57","376,6",0.02,3148,320,80,0.008,1976.56
"-1,695","390,25",0.00,3913,312,81,0.009,2611.43
"-1,776","408,48",0.01,4429,287,83,0.011,3023.76
"-1,784","424,97",0.01,4627,305,84,0.034,3231.99
"-1,771","427,92",0.01,4691,283,82,0.199,3284.44
"-1,767","410,45",0.01,4596,260,84,0.543,3173.49
"-1,76","401,71",0.01,4395,230,81,0.807,2947.07
"-1,745","394,07",0.02,4252,214,76,0.907,2798.33
"-1,725","391,01",0.01,4147,206,76,0.852,2706.09
"-1,739","385,11",0.01,3998,222,74,0.642,2555.94
"-1,744","384,46",0.01,3957,262,73,0.433,2548.54
"-1,743","384,57",0.01,4084,303,71,0.195,2715.29
"-1,755","393,19",0.00,4277,340,70,0.048,2931.53
"-1,781","401,05",0.00,4466,295,68,0.011,3048.33
"-1,752","404,88",0.02,4373,301,66,0.010,2988.16
"-1,726","395,92",0.01,4192,341,67,0.010,2874.34
"-1,654","381,62",0.02,3887,384,70,0.009,2687.58
"-1,62","370,26",0.02,3326,389,66,0.011,2160.91
"-1,531","355,96",0.04,3008,377,69,0.008,1923.51
"-1,496","347,26",0.02,2467,379,74,0.008,1424.27
"-1,488","313,02",0.02,2292,370,75,0.010,1249.24
"-1,481","262,53",0.04,2170,357,74,0.007,1120.49
"-1,479","274,12",0.02,2234,298,75,0.008,1128.78
"-1,49","349,64",0.03,2302,217,75,0.008,1103.74
"-1,556","356,68",0.03,2631,172,82,0.007,1330.32
"-1,679","368,49",0.02,3689,134,89,0.009,2232.47
"-1,752","383,88",0.02,4450,109,92,0.009,2898.51
"-1,755","400,02",0.01,4559,73,93,0.047,2969.19
"-1,758","392,44",0.01,4451,56,92,0.265,2840.14
"-1,77","380,3",0.01,4554,35,91,0.701,2911.22
"-1,766",379,0.00,4492,35,89,1.044,2851.82
